layer,combo,keycode
BAS,1_1,"LT(AR_NUM,KC_S)"
BAS,1_2,KC_T
BAS,1_3,KC_R
BAS,1_4,"LT(AR_SY2,KC_A)"
BAS,2_1,"LT(AR_CUS,KC_O)"
BAS,2_2,KC_I
BAS,2_3,KC_Y
BAS,2_4,"LT(AR_SY1,KC_E)"
NUM,1_1,KC_TRNS
NUM,1_2,KC_3
NUM,1_3,KC_2
NUM,1_4,KC_1
NUM,2_1,KC_TRNS
NUM,2_2,KC_6
NUM,2_3,KC_5
NUM,2_4,KC_4
SY1,1_1,KC_BSLS
SY1,1_2,KC_SCLN
SY1,1_3,KC_GRV
SY1,1_4,KC_HASH
SY1,2_1,KC_EQL
SY1,2_2,KC_MINS
SY1,2_3,KC_AT
SY1,2_4,KC_TRNS
CUS,1_1,KC_TRNS
CUS,1_2,KC_VOLU
CUS,1_3,KC_MUTE
CUS,1_4,KC_MPLY
CUS,2_1,KC_TRNS
CUS,2_2,KC_VOLD
CUS,2_3,KC_MPRV
CUS,2_4,KC_MNXT
SY2,1_1,KC_LCBR
SY2,1_2,KC_LBRC
SY2,1_3,KC_LPRN
SY2,1_4,KC_TRNS
SY2,2_1,KC_RCBR
SY2,2_2,KC_RBRC
SY2,2_3,KC_RPRN
SY2,2_4,KC_TRNS
MOU,1_1,KC_WH_U
MOU,1_2,KC_BTN2
MOU,1_3,KC_MS_U
MOU,1_4,KC_BTN1
MOU,2_1,KC_WH_D
MOU,2_2,KC_MS_L
MOU,2_3,KC_MS_D
MOU,2_4,KC_MS_R
NAV,1_1,KC_PGUP
NAV,1_2,KC_HOME
NAV,1_3,KC_UP
NAV,1_4,KC_END
NAV,2_1,KC_PGDN
NAV,2_2,KC_LEFT
NAV,2_3,KC_DOWN
NAV,2_4,KC_RIGHT

BAS,2_4 2_2,KC_H
BAS,1_4 1_2 1_1,KC_Q
BAS,2_3 2_2,KC_U
BAS,2_4 2_3,KC_C
BAS,2_3 2_1,KC_K
BAS,2_4 2_1,KC_B
BAS,1_4 1_1,KC_W
BAS,2_2 2_1,KC_N
BAS,1_4 1_3,KC_F
BAS,1_3 1_2 1_1,KC_X
BAS,1_2 1_1,KC_J
BAS,2_3 2_2 2_1,KC_M
BAS,2_4 2_2 2_1,KC_P
BAS,1_3 1_1,KC_V
BAS,2_4 2_3 2_2,KC_L
BAS,1_4 1_3 1_2 1_1,KC_Z
BAS,1_4 1_3 1_2,KC_D
BAS,1_3 1_2,KC_G

BAS,1_3 2_3,KC_QUOT
BAS,1_2 2_2,S(KC_2)
BAS,1_1 2_1,S(KC_SLSH)



artsey_period||SEND_STRING(".")||BASE_1_4,BASE_2_2
artsey_comma||SEND_STRING(",")||BASE_1_4,BASE_2_3
artsey_slash||SEND_STRING("/")||BASE_1_4,BASE_2_1

artsey_tab||SEND_STRING(SS_TAP(X_TAB))||BASE_1_4,BASE_1_3,BASE_1_2,BASE_2_1

BAS,2_4 2_3 2_2 2_1,KC_SPC
NAV,2_4 2_3 2_2 2_1,KC_SPC
BAS,2_2 1_3,KC_BSPC
NAV,2_2 1_3,KC_BSPC
BAS,1_3 2_4,KC_DEL
NAV,1_3 2_4,KC_DEL
BAS,1_4 2_4,KC_ENT
NAV,1_4 2_4,KC_ENT
BAS,1_4 1_3 2_1,KC_ESC
NAV,1_4 1_3 2_1,KC_ESC
